removed_interest,aud_low_est,aud_high_est,date_aud_test,seen_in_CB,unique_user,unique_advertiser
Doctor of Osteopathic Medicine,,,,yes,5,7
Doctor of Physical Therapy,,,,yes,5,6
Donald J. Trump,3769,4434,2021-10-29,no,,
Donald Trump,28000000,33000000,2022-01-07,yes,183,196
Donald Trump for President,,,,yes,10,12
Donald Trump Jr.,,,,yes,18,15
Doreen Virtue,601520,707670,2021-10-29,no,,
Dreadlocks,,,,yes,1,1
Drudge Report,,,,yes,2,1
Dua,10817220,12726141,2021-10-29,yes,3,23
Dupatta,14155870,16653964,2021-10-29,no,,
Duquesne University School of Law,3258,3832,2021-10-29,no,,
Dyslexie,,,,yes,3,3
Early Christianity,,,,yes,10,8
Eastern Catholic Churches,,,,yes,7,9
Eastern Orthodox Church,,,,yes,9,7
Ebony (magazine),,,,yes,18,29
Eckhart Tolle,1264030,1487094,2021-10-29,yes,7,20
"Edi sa puso mo :"">",2315514,2724134,2021-10-29,no,,
Edward Snowden,,,,yes,2,1
Effects of global warming,,,,yes,2,2
Eid al-Fitr,1000000,1200000,2022-01-07,yes,9,12
Elizabeth City State University,22601,26589,2021-10-29,no,,
Elizabeth Warren,,,,yes,70,25
Elton John AIDS Foundation,,,,yes,2,2
Emotion,,,,yes,104,62
Empathy,28156440,33125223,2021-10-29,yes,10,8
Enlightenment (spiritual),16736049,19689469,2021-10-29,yes,10,26
Environment America,,,,yes,2,1
Environmental Defense Fund,440680,518447,2021-10-29,yes,30,29
Environmental issue,,,,yes,1,1
Environmental justice,,,,yes,6,4
Environmental movement,,,,yes,8,8
Environmental organization,2247534,2643100,2022-02-08,yes,27,17
Environmental protection,,,,yes,13,23
Environmental Working Group,,,,yes,6,3
Environmentalism,91841970,108049376,2021-10-29,yes,280,414
Environmentalist,2065724,2429292,2022-02-08,yes,5,5
Epidemiology of HIV/AIDS,862400,1000000,2021-12-23,yes,5,6
Epilepsy Foundation of America,,,,yes,7,12
Epilepsy Support,,,,yes,2,11
Episcopal Church (United States),,,,yes,5,6
Equal Justice Initiative,,,,yes,5,3
Esotericism,23709800,27893882,2021-10-29,yes,13,12
Espadrille,6919736,8137610,2022-02-08,yes,1,1
Essence,38133100,44862470,2021-10-29,yes,14,11
Essence (magazine),89082100,104802470,2021-10-29,yes,157,217
Esther Hicks,1271550,1495941,2021-10-29,yes,2,4
Estrella TV,2693418,3167460,2022-02-08,yes,1,2
ESV Study Bible,,,,yes,2,6
Eternal life (Christianity),,,,yes,1,1
Eucharist,,,,yes,1,1
Eucharist in the Catholic Church,,,,yes,1,4
Eucharistic adoration,,,,yes,3,6
Evangelica,5102227,6002620,2021-10-29,no,,
Evangelical Christian Publishers Association,,,,yes,2,2
Evangelical Lutheran Church in America,,,,yes,2,2
Evangelicalism,9000000,10600000,2022-01-07,yes,66,54
Evangelism,,,,yes,35,34
Evangelist,178847,210408,2021-10-29,no,,
Everyday Feminism,,,,yes,2,2
Evolution,,,,yes,9,6
